Nintervals,seed,n_clusters,noise_count,noise_pct,n_brown,n_transition,n_green,chi_min,chi_max,chi_mean,chi_std,clusters_per_interval,mean_cluster_size,median_cluster_size,max_cluster_size,min_cluster_size,chi_per_cluster,size_per_cluster,interval_per_cluster
3,42,7,15051,7.5255,2,2,3,0.13424308598041534,0.8605251908302307,0.48823896050453186,0.3193543553352356,"[0, 0, 1, 1, 2, 2, 2]",26421.285714285714,3015.0,106035,1909,"[0.14730235934257507, 0.13424308598041534, 0.2686002254486084, 0.3156404197216034, 0.855730414390564, 0.8356310129165649, 0.8605251908302307]","[25166, 106035, 2087, 44188, 1909, 2549, 3015]","[0, 0, 1, 1, 2, 2, 2]"
4,123,9,30881,15.4405,3,1,5,0.12205520272254944,0.8875648975372314,0.5706579685211182,0.3491053581237793,"[0, 0, 1, 1, 3, 3, 3, 3, 3]",18791.0,1930.0,90495,662,"[0.12553660571575165, 0.12205520272254944, 0.22722193598747253, 0.2570539116859436, 0.8680911064147949, 0.8875648975372314, 0.8813735842704773, 0.8825544714927673, 0.8844693899154663]","[18035, 90495, 29045, 25038, 662, 1640, 1078, 1196, 1930]","[0, 0, 1, 1, 3, 3, 3, 3, 3]"
