Nintervals,seed,n_clusters,noise_count,noise_pct,n_brown,n_transition,n_green,chi_min,chi_max,chi_mean,chi_std,clusters_per_interval,mean_cluster_size,median_cluster_size,max_cluster_size,min_cluster_size,chi_per_cluster,size_per_cluster,interval_per_cluster
3,42,7,15051,7.5255,2,2,3,0.13424308598041534,0.8605251908302307,0.48823896050453186,0.3193543553352356,"[0, 0, 1, 1, 2, 2, 2]",26421.285714285714,3015.0,106035,1909,"[0.14730235934257507, 0.13424308598041534, 0.2686002254486084, 0.3156404197216034, 0.855730414390564, 0.8356310129165649, 0.8605251908302307]","[25166, 106035, 2087, 44188, 1909, 2549, 3015]","[0, 0, 1, 1, 2, 2, 2]"
3,123,7,15051,7.5255,2,2,3,0.13430848717689514,0.8608061075210571,0.48846837878227234,0.31936949491500854,"[0, 0, 1, 1, 2, 2, 2]",26421.285714285714,3012.0,106108,1907,"[0.147465318441391, 0.13430848717689514, 0.2690250873565674, 0.315905898809433, 0.8560212254524231, 0.8357465863227844, 0.8608061075210571]","[25219, 106108, 2069, 44089, 1907, 2545, 3012]","[0, 0, 1, 1, 2, 2, 2]"
3,456,7,15051,7.5255,2,2,3,0.13432522118091583,0.8608997464179993,0.4885464012622833,0.31940212845802307,"[0, 0, 1, 1, 2, 2, 2]",26421.285714285714,3011.0,106124,1906,"[0.14752373099327087, 0.13432522118091583, 0.26906758546829224, 0.3159944415092468, 0.8561665415763855, 0.8358476758003235, 0.8608997464179993]","[25238, 106124, 2067, 44059, 1906, 2544, 3011]","[0, 0, 1, 1, 2, 2, 2]"
4,42,9,31310,15.655,3,1,5,0.12164740264415741,0.8854026198387146,0.5695107579231262,0.3489227592945099,"[0, 0, 1, 1, 3, 3, 3, 3, 3]",18743.333333333332,1941.0,89927,665,"[0.12488026916980743, 0.12164740264415741, 0.22583240270614624, 0.2555745244026184, 0.8671038150787354, 0.8854026198387146, 0.8802971839904785, 0.8815822601318359, 0.883276641368866]","[17824, 89927, 29607, 24787, 665, 1655, 1083, 1201, 1941]","[0, 0, 1, 1, 3, 3, 3, 3, 3]"
4,123,9,30881,15.4405,3,1,5,0.12205520272254944,0.8875648975372314,0.5706579685211182,0.3491053581237793,"[0, 0, 1, 1, 3, 3, 3, 3, 3]",18791.0,1930.0,90495,662,"[0.12553660571575165, 0.12205520272254944, 0.22722193598747253, 0.2570539116859436, 0.8680911064147949, 0.8875648975372314, 0.8813735842704773, 0.8825544714927673, 0.8844693899154663]","[18035, 90495, 29045, 25038, 662, 1640, 1078, 1196, 1930]","[0, 0, 1, 1, 3, 3, 3, 3, 3]"
4,456,8,31796,15.898,3,1,4,0.12102670967578888,0.8847956657409668,0.52890944480896,0.35082146525382996,"[0, 0, 1, 1, 3, 3, 3, 3]",21025.5,10058.5,89014,964,"[0.1238655149936676, 0.12102670967578888, 0.22349227964878082, 0.254187673330307, 0.863405704498291, 0.8806541562080383, 0.8847956657409668, 0.879848062992096]","[17499, 89014, 30465, 24633, 964, 1493, 2618, 1518]","[0, 0, 1, 1, 3, 3, 3, 3]"
