Nintervals,seed,n_clusters,noise_count,noise_pct,n_brown,n_transition,n_green,chi_min,chi_max,chi_mean,chi_std,clusters_per_interval,mean_cluster_size,median_cluster_size,max_cluster_size,min_cluster_size,chi_per_cluster,size_per_cluster,interval_per_cluster
3,42,13,15018,7.509,2,4,7,0.2019214183092117,0.6971179246902466,0.498489111661911,0.1609224826097488,"[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]",14229.384615384615,543.0,77736,52,"[0.2047506719827652, 0.20192141830921173, 0.3500159978866577, 0.34757280349731445, 0.6971179246902466, 0.5652319192886353, 0.5383842587471008, 0.5542581677436829, 0.5728851556777954, 0.5400806665420532, 0.6934434771537781, 0.6097689270973206, 0.6049275994300842]","[28101, 77736, 66245, 543, 607, 52, 106, 70, 62, 104, 738, 10501, 117]","[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
3,123,13,15013,7.5065,2,5,6,0.2011282742023468,0.6922712922096252,0.4938968122005462,0.1595013290643692,"[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]",14229.76923076923,561.0,76944,57,"[0.20347881317138672, 0.2011282742023468, 0.3475509583950043, 0.3449142873287201, 0.6922712922096252, 0.5301303863525391, 0.5431268811225891, 0.5699076652526855, 0.5361523032188416, 0.6897213459014893, 0.5526186227798462, 0.6043602228164673, 0.6052975058555603]","[27556, 76944, 67053, 561, 620, 111, 82, 64, 111, 750, 57, 10962, 116]","[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
3,456,13,15013,7.5065,2,5,6,0.2011497467756271,0.6922712922096252,0.4939357340335846,0.1595220565795898,"[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]",14229.76923076923,561.0,76980,57,"[0.20351217687129974, 0.20114974677562714, 0.34761059284210205, 0.3449142873287201, 0.6922712922096252, 0.5301303863525391, 0.5431268811225891, 0.5699076652526855, 0.5361523032188416, 0.6900070309638977, 0.5526186227798462, 0.6044659614562988, 0.6052975058555603]","[27553, 76980, 67030, 561, 620, 111, 82, 64, 111, 749, 57, 10953, 116]","[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
4,42,25,14088,7.044,2,20,3,0.1811941415071487,0.7459794878959656,0.4280854165554046,0.1329298913478851,"[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3]",7436.48,92.0,57805,55,"[0.18119414150714874, 0.18300199508666992, 0.2872520387172699, 0.2943464517593384, 0.38825392723083496, 0.39713412523269653, 0.3974694311618805, 0.44129958748817444, 0.4276241958141327, 0.459168016910553, 0.3982752561569214, 0.3998104929924011, 0.413404256105423, 0.41032201051712036, 0.4506029188632965, 0.4446863532066345, 0.3946763873100281, 0.423078328371048, 0.4056566655635834, 0.4315185546875, 0.4348185658454895, 0.4500652253627777, 0.7459794878959656, 0.7097766399383545, 0.7327194213867188]","[18858, 57805, 43073, 28286, 821, 128, 56, 76, 129, 60, 92, 58, 64, 71, 55, 61, 88, 87, 56, 104, 30199, 91, 1585, 2893, 1116]","[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3]"
4,123,17,14278,7.139,2,12,3,0.1836913526058197,0.7516930103302002,0.429841935634613,0.163355752825737,"[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3]",10924.823529411764,228.0,70135,58,"[0.1836913526058197, 0.1849975734949112, 0.2945202589035034, 0.25407135486602783, 0.3989013731479645, 0.406033992767334, 0.4033280313014984, 0.44331124424934387, 0.4114743769168854, 0.4335225522518158, 0.42741701006889343, 0.3947601616382599, 0.44056132435798645, 0.4261089861392975, 0.7516930103302002, 0.7159135937690735, 0.7370072603225708]","[19788, 59970, 70135, 58, 711, 85, 228, 58, 71, 112, 81, 91, 28871, 96, 1530, 2756, 1081]","[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3]"
4,456,26,14070,7.035,2,21,3,0.180816113948822,0.7455496788024902,0.4274022281169891,0.1303211748600006,"[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3]",7151.153846153846,91.5,57503,55,"[0.18081611394882202, 0.18271227180957794, 0.286756694316864, 0.2937312424182892, 0.38748493790626526, 0.3963765799999237, 0.3974694311618805, 0.44129958748817444, 0.4276241958141327, 0.459168016910553, 0.3979126811027527, 0.39983901381492615, 0.413404256105423, 0.40962404012680054, 0.4506029188632965, 0.4446863532066345, 0.4193381071090698, 0.3946763873100281, 0.42236602306365967, 0.40485870838165283, 0.4308370053768158, 0.4342329502105713, 0.4499458372592926, 0.7455496788024902, 0.7091291546821594, 0.732016921043396]","[18716, 57503, 43429, 28150, 846, 131, 56, 76, 129, 60, 92, 60, 64, 72, 55, 61, 72, 88, 88, 57, 105, 30312, 91, 1589, 2907, 1121]","[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3]"
2,42,21,13865,6.9325,2,16,3,0.22522877156734467,0.6184566020965576,0.44503387808799744,0.09391020238399506,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",8863.57142857143,81.0,99082,49,"[0.23887139558792114, 0.22522877156734467, 0.3879779279232025, 0.4132508635520935, 0.4388815760612488, 0.3757883310317993, 0.45543617010116577, 0.380604088306427, 0.4580543339252472, 0.4523305296897888, 0.6184566020965576, 0.4158930480480194, 0.5118714570999146, 0.5773929953575134, 0.41806453466415405, 0.5262933373451233, 0.48260313272476196, 0.48230692744255066, 0.44795429706573486, 0.4611540734767914, 0.577296793460846]","[42498, 99082, 226, 63, 64, 1067, 72, 80, 54, 78, 288, 59, 49, 154, 58, 101, 85, 81, 51, 41775, 150]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2,123,21,13880,6.94,2,16,3,0.22549155354499817,0.6200280785560608,0.448452353477478,0.09411607682704926,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",8862.857142857143,85.0,99286,49,"[0.23923392593860626, 0.22549155354499817, 0.392373263835907, 0.4368531107902527, 0.37768983840942383, 0.45806002616882324, 0.380604088306427, 0.46021172404289246, 0.4551989436149597, 0.460196316242218, 0.6200280785560608, 0.4158930480480194, 0.5118714570999146, 0.5820453763008118, 0.41806453466415405, 0.5265167951583862, 0.45003509521484375, 0.48260313272476196, 0.48230692744255066, 0.4620858430862427, 0.5801370143890381]","[42646, 99286, 240, 78, 1105, 70, 80, 53, 76, 170, 286, 59, 49, 151, 58, 102, 50, 85, 81, 41247, 148]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2,456,21,13880,6.94,2,16,3,0.22545047104358673,0.6200280785560608,0.4483357071876526,0.09412987530231476,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",8862.857142857143,85.0,99255,49,"[0.23917309939861298, 0.22545047104358673, 0.392373263835907, 0.4368531107902527, 0.3775681257247925, 0.45806002616882324, 0.380604088306427, 0.46021172404289246, 0.4551989436149597, 0.460196316242218, 0.6200280785560608, 0.4158930480480194, 0.5118714570999146, 0.5820453763008118, 0.41806453466415405, 0.5265167951583862, 0.48260313272476196, 0.48230692744255066, 0.44795429706573486, 0.4619402587413788, 0.5801370143890381]","[42621, 99255, 240, 78, 1109, 70, 80, 53, 76, 170, 286, 59, 49, 151, 58, 102, 85, 81, 51, 41298, 148]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
